producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-aggregate,0.5,aggregate,2.0,beegfs-tmpfs,16,tmpfs,1,0.7632518925861682,0.5141285608710228,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,beegfs-tmpfs,13,tmpfs,1,0.7632518925861682,0.5141285608710228,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-beegfs,4,beegfs,1,0.8132309460771978,0.07276028870530869,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs-tmpfs,8,tmpfs,1,0.8270323235369573,0.5779089918218119,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,ssd-beegfs,4,beegfs,1,0.9197533516674739,0.1792826942955848,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs-tmpfs,7,tmpfs,1,0.9235368488652438,0.6744135171500983,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,ssd-beegfs,16,beegfs,1,0.9271337664161576,0.18666310904426878,0.7404706573718889
stage_in-aggregate,0.5,aggregate,2.0,ssd-beegfs,13,beegfs,1,0.9329516500427569,0.19248099267086807,0.7404706573718889
stage_in-aggregate,0.5,aggregate,2.0,ssd-beegfs,7,beegfs,1,1.0247563042056547,0.28428564683376584,0.7404706573718889
stage_in-aggregate,0.5,aggregate,2.0,ssd-beegfs,8,beegfs,1,1.0263898789344656,0.2859192215625769,0.7404706573718889
stage_in-training,0.5,training,2.0,tmpfs,1,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,3,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,6,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,12,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,13,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,16,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,24,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-training,0.5,training,2.0,tmpfs,34,tmpfs,1,1.1472967724430174,0.0,1.1472967724430174
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-tmpfs,4,tmpfs,1,1.234953732613626,0.9858304008984805,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,ssd-ssd,4,ssd,1,1.260302448987448,0.9920969497235906,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-tmpfs,7,tmpfs,1,1.2686018640593049,1.0194785323441595,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-tmpfs,13,tmpfs,1,1.2880229725506902,1.0388996408355449,0.24912333171514542
stage_in-aggregate,0.5,aggregate,2.0,ssd-ssd,7,ssd,1,1.2885491727418315,1.020343673477974,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,ssd-ssd,13,ssd,1,1.321518293731343,1.0533127944674856,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-beegfs,7,beegfs,1,2.0841820681072587,1.3437114107353698,0.7404706573718889
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-beegfs,16,beegfs,1,2.1620118942282227,1.4215412368563336,0.7404706573718889
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-beegfs,8,beegfs,1,2.3115648832436317,1.5710942258717429,0.7404706573718889
stage_in-aggregate,0.5,aggregate,2.0,tmpfs-beegfs,13,beegfs,1,2.323428049786587,1.5829573924146982,0.7404706573718889
stage_in-training,0.5,training,2.0,beegfs-tmpfs,4,tmpfs,1,2.499793638896702,1.8152911916891374,0.6845024472075646
stage_in-training,0.5,training,2.0,beegfs-ssd,16,ssd,1,2.8565843744590254,1.1188768224096513,1.7377075520493739
stage_in-training,0.5,training,2.0,beegfs-tmpfs,9,tmpfs,1,2.9114503614359624,1.5872028175793893,1.3242475438565728
stage_in-training,0.5,training,2.0,beegfs-ssd,8,ssd,1,3.0464353653509844,1.3087278133016105,1.7377075520493739
stage_in-training,0.5,training,2.0,beegfs-ssd,4,ssd,1,3.054732536468622,1.3170249844192483,1.7377075520493739
stage_in-training,0.5,training,2.0,beegfs,1,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,3,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,6,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,12,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,13,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,16,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,24,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,beegfs,34,beegfs,1,3.5107667026391693,0.0,3.5107667026391693
stage_in-training,0.5,training,2.0,tmpfs-beegfs,4,beegfs,1,3.9229621620725474,1.815230618336351,2.1077315437361968
stage_in-training,0.5,training,2.0,tmpfs-beegfs,9,beegfs,1,5.920385436375382,1.8731641141556654,4.047221322219716
stage_in-training,0.5,training,2.0,ssd-beegfs,4,beegfs,1,6.418052700774011,4.310321157037814,2.1077315437361968
stage_in-training,0.5,training,2.0,ssd-beegfs,16,beegfs,1,6.4558333440482185,4.348101800312022,2.1077315437361968
stage_in-training,0.5,training,2.0,ssd,1,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,3,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,6,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,12,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,13,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,16,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,24,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd,34,ssd,1,7.4662409243824355,0.0,7.4662409243824355
stage_in-training,0.5,training,2.0,ssd-beegfs,8,beegfs,1,8.123589379301457,6.015857835565261,2.1077315437361968
stage_in-training,0.5,training,2.0,ssd-beegfs,34,beegfs,1,8.135171048169518,4.087949725949802,4.047221322219716
stage_in-training,0.5,training,2.0,ssd-beegfs,9,beegfs,1,8.152154675686063,4.104933353466347,4.047221322219716
stage_in-training,0.5,training,2.0,ssd-beegfs,17,beegfs,1,8.997203079419954,4.949981757200237,4.047221322219716
stage_in-training,0.5,training,2.0,beegfs-ssd,9,ssd,1,10.557505437351686,0.9009429294301371,9.65656250792155
stage_in-training,0.5,training,2.0,beegfs-ssd,17,ssd,1,10.564659648113224,0.908097140191674,9.65656250792155
stage_in-training,0.5,training,2.0,beegfs-ssd,34,ssd,1,10.637485536981686,0.9809230290601363,9.65656250792155
stage_in-training,0.5,training,2.0,beegfs-tmpfs,34,tmpfs,1,12.611738622418102,11.28749107856153,1.3242475438565728
stage_in-training,0.5,training,2.0,beegfs-tmpfs,16,tmpfs,1,14.568865901347856,13.88436345414029,0.6845024472075646
stage_in-training,0.5,training,2.0,tmpfs-beegfs,34,beegfs,1,16.734842065314368,12.687620743094653,4.047221322219716
stage_in-training,0.5,training,2.0,beegfs-tmpfs,17,tmpfs,1,17.344919448094277,16.020671904237705,1.3242475438565728
stage_in-training,0.5,training,2.0,beegfs-tmpfs,8,tmpfs,1,19.45394788918074,18.769445441973176,0.6845024472075646
stage_in-training,0.5,training,2.0,tmpfs-beegfs,17,beegfs,1,22.78335412880599,18.736132806586273,4.047221322219716
stage_in-training,0.5,training,2.0,tmpfs-beegfs,16,beegfs,1,35.02955706474002,32.92182552100382,2.1077315437361968
