producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
run_idfeature,stage_out-run_idfeature,tmpfs,12,tmpfs-tmpfs,5,80.63184169059637
run_idfeature,stage_out-run_idfeature,ssd,3,ssd-ssd,2,80.6841759013837
run_idfeature,stage_out-run_idfeature,ssd,6,ssd-ssd,8,80.89781313673463
run_idfeature,stage_out-run_idfeature,ssd,3,tmpfs-tmpfs,8,80.91334883703857
run_idfeature,stage_out-run_idfeature,ssd,3,tmpfs-tmpfs,3,80.98700250240185
run_idfeature,stage_out-run_idfeature,ssd,6,tmpfs-tmpfs,2,80.99003708684577
run_idfeature,stage_out-run_idfeature,ssd,6,ssd-ssd,2,81.32082467218532
run_idfeature,stage_out-run_idfeature,ssd,6,tmpfs-tmpfs,8,81.5499976078402
run_idfeature,stage_out-run_idfeature,ssd,6,tmpfs-tmpfs,3,81.62365127320348
run_idfeature,stage_out-run_idfeature,ssd,3,tmpfs-tmpfs,15,81.65352337675361
run_idfeature,stage_out-run_idfeature,tmpfs,3,ssd-ssd,30,81.81692763843704
run_idfeature,stage_out-run_idfeature,ssd,3,ssd-ssd,3,81.88747751261764
run_idfeature,stage_out-run_idfeature,tmpfs,6,ssd-ssd,30,81.99571609731994
run_idfeature,stage_out-run_idfeature,ssd,3,ssd-ssd,5,82.03996040893144
run_idfeature,stage_out-run_idfeature,tmpfs,12,ssd-ssd,30,82.0818787808531
run_idfeature,stage_out-run_idfeature,ssd,6,tmpfs-tmpfs,15,82.29017214755524
run_idfeature,stage_out-run_idfeature,ssd,3,ssd-ssd,15,82.33506117836853
run_idfeature,stage_out-run_idfeature,ssd,3,tmpfs-tmpfs,5,82.39286053298753
run_idfeature,stage_out-run_idfeature,ssd,6,ssd-ssd,3,82.52412628341926
run_idfeature,stage_out-run_idfeature,ssd,6,ssd-ssd,5,82.67660917973306
run_idfeature,stage_out-run_idfeature,ssd,6,ssd-ssd,15,82.97170994917016
run_idfeature,stage_out-run_idfeature,ssd,6,tmpfs-tmpfs,5,83.02950930378915
run_idfeature,stage_out-run_idfeature,tmpfs,3,tmpfs-tmpfs,30,83.7010052823764
run_idfeature,stage_out-run_idfeature,ssd,3,ssd-ssd,30,83.84289762324426
run_idfeature,stage_out-run_idfeature,tmpfs,6,tmpfs-tmpfs,30,83.8797937412593
run_idfeature,stage_out-run_idfeature,tmpfs,12,tmpfs-tmpfs,30,83.96595642479247
run_idfeature,stage_out-run_idfeature,ssd,6,ssd-ssd,30,84.47954639404588
run_idfeature,stage_out-run_idfeature,beegfs,3,ssd-ssd,8,85.16654612927259
run_idfeature,stage_out-run_idfeature,ssd,12,ssd-ssd,8,85.20305481590256
run_idfeature,stage_out-run_idfeature,beegfs,3,tmpfs-tmpfs,2,85.25877007938374
run_idfeature,stage_out-run_idfeature,ssd,12,tmpfs-tmpfs,2,85.29527876601371
run_idfeature,stage_out-run_idfeature,beegfs,6,ssd-ssd,8,85.40162538640203
run_idfeature,stage_out-run_idfeature,beegfs,6,tmpfs-tmpfs,2,85.49384933651318
run_idfeature,stage_out-run_idfeature,beegfs,3,ssd-ssd,2,85.58955766472329
run_idfeature,stage_out-run_idfeature,ssd,12,ssd-ssd,2,85.62606635135326
run_idfeature,stage_out-run_idfeature,ssd,3,tmpfs-tmpfs,30,85.72697526718362
run_idfeature,stage_out-run_idfeature,beegfs,3,tmpfs-tmpfs,8,85.81873060037816
run_idfeature,stage_out-run_idfeature,beegfs,6,ssd-ssd,2,85.82463692185273
run_idfeature,stage_out-run_idfeature,ssd,12,tmpfs-tmpfs,8,85.85523928700813
run_idfeature,stage_out-run_idfeature,beegfs,3,tmpfs-tmpfs,3,85.89238426574144
run_idfeature,stage_out-run_idfeature,ssd,12,tmpfs-tmpfs,3,85.92889295237141
run_idfeature,stage_out-run_idfeature,beegfs,6,tmpfs-tmpfs,8,86.0538098575076
run_idfeature,stage_out-run_idfeature,beegfs,6,tmpfs-tmpfs,3,86.12746352287088
run_idfeature,stage_out-run_idfeature,ssd,6,tmpfs-tmpfs,30,86.36362403798525
run_idfeature,stage_out-run_idfeature,beegfs,3,tmpfs-tmpfs,15,86.5589051400932
run_idfeature,stage_out-run_idfeature,ssd,12,tmpfs-tmpfs,15,86.59541382672317
run_idfeature,stage_out-run_idfeature,beegfs,3,ssd-ssd,3,86.79285927595723
run_idfeature,stage_out-run_idfeature,beegfs,6,tmpfs-tmpfs,15,86.79398439722264
run_idfeature,stage_out-run_idfeature,ssd,12,ssd-ssd,3,86.8293679625872
run_idfeature,stage_out-run_idfeature,beegfs,3,ssd-ssd,5,86.94534217227103
run_idfeature,stage_out-run_idfeature,ssd,12,ssd-ssd,5,86.981850858901
run_idfeature,stage_out-run_idfeature,beegfs,6,ssd-ssd,3,87.02793853308667
run_idfeature,stage_out-run_idfeature,beegfs,6,ssd-ssd,5,87.18042142940047
run_idfeature,stage_out-run_idfeature,beegfs,3,ssd-ssd,15,87.24044294170812
run_idfeature,stage_out-run_idfeature,ssd,12,ssd-ssd,15,87.2769516283381
run_idfeature,stage_out-run_idfeature,beegfs,3,tmpfs-tmpfs,5,87.29824229632712
