operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_071500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_111500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_121500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_131500.nc,1,initial_data
write,1,5498.14075148408,155.4573793411255,96,96,0.495124058,[8],8,12,313.9766222814515,pfs,29648,run_idfeature,3679-dc155,cloudid_20160802_141500.nc,1,
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_151500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_211500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_221500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_231500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160803_031500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160803_051500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160803_081500.nc,1,initial_data
